entity_id	business_name	business_address	country
S1-424976769	BS Projects	Shop No.- 4, Ground Floor, 59/101 Kanhaiya Plaza, Dalmandi, Canal Road, Kanpur, Uttar Pradesh	India
S1-88224713	Seaways & Associates	Plot No : 318 Village Baska, Taluka - Halol, Vadodara, Panch Mahals, Gujarat	India
S1-643535950	Lyrelle Wave LLC	7503 Laytonia Drive, Gaithersburg, MD	US
S1-505333132	Clemons Silver Eastern Inc	1619 Julia Park Drive, Spring, TX	US
S1-315874798	Changodar Services	44 C Ashwamegh Industrial Estate Sarkhej-Bavla Highway, Tal- Sanand, Vill., Changodar, Ahmedabad, Gujarat	India
S1-105568631	Economic Development Coalition IV	189 Laurel Road, Arden, NC	US
S1-922626199	Sarasiya Consulting Private Limited	Plot No- 271-A, Vipin Garden Uttam Nagar, New Delhi, West Delhi, Delhi	India
S1-953694901	St. Lutheran Church LLC	Crown Point, IN, 787 Ronny Court	US
S1-262997549	Gabriella's Preferred Security	1013 Girard Avenue, Indianola, IA	US
S1-56911061	Keystone Environmental Consultants Inc	1809 Fairview Street, Burlington, NC	US
S1-217362890	Gatewood's Iron Works	4500 Dewey Avenue, Unit Unit 16, Greece, NY	US
S1-81771195	XX Apex Nippon	5604 Brooklyn Avenue, Kansas City, MO	US
S1-244810289	Celestial Memorial Trust	No. 35, Brentwood Apartments, Defence Colony, 2Nd Main, Indiranagar, Bangalore, Karnataka	India
S1-389414274	Benzer Intelli Group	Kolanghattil House, Ward13, No 92, Kalloor Post, Chavakkad, Thrissur, Kerala	India
S1-439203009	Ace Producer Private Limited	H No 847 S No 113/12 Opp Patil Enclave, Pune, Maharashtra	India
S1-862038247	Waters & Millar Aimei P.C.	6267 Passing Sky Drive, Security-widefield, CO	US
S1-155848476	Downtown Bakery	1501 Tacoma Avenue, Unit #202, Tacoma, WA	US
S1-184017157	Star Enterprises Pvt Ltd	903, C Wing, Presidential Towers, L.B.S. Marg, Opp. R. City Mall, Ghatkopa, R (W), Mumbai, Maharashtra	India
S1-39001923	Pediatric Dentistry Capital Health, Inc	909 Jackson Street, Pittsfield, IL	US
S1-3006430	Surgical Health Inc	200 Links Lane, Fl GROUND FLOOR, Waterloo, IL	US
S1-887286027	Sadyne Sony Inc.	1 Stewart Road, Kortright, NY	US
S1-574902381	Wilson, Chon and Ashe Corp	1108 Clay Street, Glenwood, AR	US
S1-342756019	Giralda Greenwood, D.O., PC	184 Turbine 7 Road, Refugio County, TX	US
S1-849670817	Strategic Praetorian	702 N Street, Washington, DC	US
S1-541270202	Sofie Greenman, O.D.	356 Bell Factory Road, Huntsville, AL	US
S1-785467099	Direct Grid Corp	9906 Fieldcrest Drive, Omaha, NE	US
S1-144526682	Davis & Decker	1361 Norby Road, Kiantone, NY	US
S1-38836424	Hendrickson Horizon Paloma LLC	673 Larch Avenue, East Wenatchee, WA	US
S1-924630389	Piyush Educational Society	No.A/4, Rahat Garden Apartments, Sakthi Nagar First Main Road, Jamin Pall, Avaram, Chennai, Tamil Nadu	India
